state_name,state_district,po_office
Texas,Texas Northern,"Dallas, TX"
Texas,Texas Northern,"Fort Worth, TX"
Texas,Texas Northern,"Lubbock, TX"
Texas,Texas Northern,"San Angelo, TX"
Texas,Texas Southern,"Brownsville, TX"
Texas,Texas Southern,"Corpus Christi, TX"
Texas,Texas Southern,"Laredo, TX"
Texas,Texas Southern,"Victoria, TX"
Texas,Texas Western,"Alpine, TX"
Texas,Texas Western,"Del Rio, TX"
Texas,Texas Western,"Midland Odessa, TX"
Texas,Texas Western,"San Antonio, TX"
Texas,Texas Western,"Waco, TX"
Utah,Utah,"Salt Lake City, UT"
Vermont,Vermont,"Burlington, VT"
Virginia,Virginia Eastern,"Alexandria, VA"
Virginia,Virginia Eastern,"Newport News, VA"
Virginia,Virginia Eastern,"Richmond, VA"
Virginia,Virginia Western,"Roanoke, VA"
Washington,Washington Eastern,"Spokane, WA"
Washington,Washington Western,"Seattle, WA"
Washington,Washington Western,"Tacoma, WA"
West Virginia,West Virginia Northern,"Martinsburg, WV"
Wisconsin,Wisconsin Eastern,"Milwaukee, WI"
Wisconsin,Wisconsin Western,"Madison, WI"
Wyoming,Wyoming,"Casper, WY"
Wyoming,Wyoming,"Cheyenne, WY"
Alabama,Alabama Northern,"Huntsville, AL"
Alaska,Alaska,"Anchorage, AK"
Alaska,Alaska,"Fairbanks, AK"
Arizona,Arizona,"Flagstaff, AZ"
Arizona,Arizona,"Yuma, AZ"
Arkansas,Arkansas Eastern,"Little Rock, AR"
Arkansas,Arkansas Western,"Fayetteville, AR"
Arkansas,Arkansas Western,"Hot Springs, AR"
California,California Central,"Santa Ana, CA"
California,California Central,"Woodland Hills, CA"
California,California Eastern,"Fresno, CA"
California,California Eastern,"Sacramento, CA"
California,California Northern,"Oakland, CA"
California,California Northern,"San Jose, CA"
Colorado,Colorado,"Colorado Springs, CO"
Connecticut,Connecticut,"Bridgeport, CT"
Connecticut,Connecticut,"New Haven, CT"
Delaware,Delaware,"Wilmington, DE"
Florida,Florida Middle,"Fort Myers, FL"
Florida,Florida Middle,"Jacksonville, FL"
Florida,Florida Northern,"Gainesville, FL"
Florida,Florida Northern,"Panama City, FL"
Florida,Florida Northern,"Tallahassee, FL"
Florida,Florida Southern,"Fort Pierce, FL"
Florida,Florida Southern,"Key West, FL"
Georgia,Georgia Middle,"Athens, GA"
Georgia,Georgia Middle,"Valdosta, GA"
Georgia,Georgia Southern,"Augusta, GA"
Hawaii,Hawaii,"Honolulu, HI"
Idaho,Idaho,"Coeur d'Alene, ID"
Idaho,Idaho,"Pocatello, ID"
Illinois,Illinois Central,"Champaign/Urbana, IL"
Illinois,Illinois Central,"Peoria, IL"
Illinois,Illinois Central,"Rock Island, IL"
Illinois,Illinois Northern,"Chicago, IL"
Illinois,Illinois Northern,"Rockford, IL"
Illinois,Illinois Southern,"Benton, IL"
Indiana,Indiana Southern,"Evansville, IN"
Iowa,Iowa Southern,"Davenport, IA"
Kansas,Kansas,"Topeka, KS"
Kentucky,Kentucky Eastern,"Covington, KY"
Kentucky,Kentucky Eastern,"London, KY"
Kentucky,Kentucky Western,"Bowling Green, KY"
Louisiana,Louisiana Eastern,"New Orleans, LA"
Louisiana,Louisiana Middle,"Baton Rouge, LA"
Louisiana,Louisiana Western,"Alexandria, LA"
Louisiana,Louisiana Western,"Lake Charles, LA"
Louisiana,Louisiana Western,"Monroe, LA"
Louisiana,Louisiana Western,"Shreveport, LA"
Maine,Maine,"Portland, ME"
Maryland,Maryland,"Greenbelt, MD"
Massachusetts,Massachusetts,"Boston, MA"
Massachusetts,Massachusetts,"Springfield, MA"
Michigan,Michigan Eastern,"Ann Arbor, MI"
Michigan,Michigan Western,"Kalamazoo, MI"
Michigan,Michigan Western,"Lansing, MI"
Minnesota,Minnesota,"St. Paul, MN"
Mississippi,Mississippi Northern,"Aberdeen, MS"
Mississippi,Mississippi Southern,"Hattiesburg, MS"
Missouri,Missouri Western,"Jefferson City, MO"
Montana,Montana,"Billings, MT"
Montana,Montana,"Helena, MT"
Montana,Montana,"Missoula, MT"
Nebraska,Nebraska,"Lincoln, NE"
Nevada,Nevada,"Reno, NV"
New Hampshire,New Hampshire,"Concord, NH"
New Jersey,New Jersey,"Camden, NJ"
New Jersey,New Jersey,"Newark, NJ"
New York,New York Eastern,"Brooklyn, NY"
New York,New York Northern,"Syracuse, NY"
North Carolina,North Carolina Eastern,"Fayetteville, NC"
North Carolina,North Carolina Eastern,"Greenville, NC"
North Carolina,North Carolina Eastern,"New Bern, NC"
North Carolina,North Carolina Eastern,"Wilmington, NC"
North Carolina,North Carolina Middle,"Salisbury, NC"
North Carolina,North Carolina Western,"Asheville, NC"
North Dakota,North Dakota,"Belcourt, ND"
North Dakota,North Dakota,"Bismarck, ND"
North Dakota,North Dakota,"Minot, ND"
Ohio,Ohio Northern,"Akron, OH"
Ohio,Ohio Southern,"Cincinnati, OH"
Ohio,Ohio Southern,"Columbus, OH"
Pennsylvania,Pennsylvania Eastern,"Allentown, PA"
Pennsylvania,Pennsylvania Middle,"Harrisburg, PA"
Pennsylvania,Pennsylvania Middle,"Williamsport, PA"
Pennsylvania,Pennsylvania Western,"Johnston, PA"
Pennsylvania,Pennsylvania Western,"Pittsburgh, PA"
South Carolina,South Carolina,"Charleston, SC"
South Carolina,South Carolina,"Florence, SC"
South Dakota,South Dakota,"Aberdeen, SD"
South Dakota,South Dakota,"Sioux Falls, SD"
Tennessee,Tennessee Eastern,"Chattanooga, TN"
Tennessee,Tennessee Eastern,"Knoxville, TN"
Tennessee,Tennessee Western,"Jackson, TN"
Texas,Texas Eastern,"Beaumont, TX"
Texas,Texas Eastern,"Plano, TX"
Texas,Texas Eastern,"Sherman, TX"
Texas,Texas Eastern,"Texarkana, TX"
Texas,Texas Eastern,"Tyler, TX"
Texas,Texas Northern,"Abilene, TX"
Utah,Utah,"Ogden, UT"
Utah,Utah,"St. George, UT"
Virginia,Virginia Western,"Abingdon, VA"
Virginia,Virginia Western,"Charlottesville, VA"
Virginia,Virginia Western,"Danville, VA"
Virginia,Virginia Western,"Lynchburg, VA"
Virgin Islands,Virgin Islands,"St. Thomas, VI"
Washington,Washington Eastern,"Yakima, WA"
West Virginia,West Virginia Northern,"Clarksburg, WV"
West Virginia,West Virginia Northern,"Elkins, WV"
West Virginia,West Virginia Northern,"Wheeling, WV"
West Virginia,West Virginia Southern,"Beckley, WV"
West Virginia,West Virginia Southern,"Bluefield, WV"
West Virginia,West Virginia Southern,"Charleston, WV"
West Virginia,West Virginia Southern,"Huntington, WV"
Wisconsin,Wisconsin Eastern,"Green Bay, WI"
Arkansas,Arkansas Eastern,"Pine Bluff, AR"
Arkansas,Arkansas Western,"El Dorado/Texarkana, AR"
California,California Central,"Ventura, CA"
Connecticut,Connecticut,"Hartford, CT"
Delaware,Delaware,"Dover, DE"
Florida,Florida Middle,"Ocala, FL"
Georgia,Georgia Middle,"Albany, GA"
Illinois,Illinois Northern,"Lisle, IL"
Indiana,Indiana Southern,"Terre Haute, IN"
Kentucky,Kentucky Eastern,"Frankfort, KY"
Kentucky,Kentucky Western,"Owensboro, KY"
Kentucky,Kentucky Western,"Paducah, KY"
Maine,Maine,"Bangor, ME"
Massachusetts,Massachusetts,"Worcester, MA"
Mississippi,Mississippi Northern,"Greenville, MS"
Mississippi,Mississippi Northern,"Tupelo, MS"
Montana,Montana,"Butte, MT"
New York,New York Eastern,"Central Islip, NY"
New York,New York Southern,"White Plains, NY"
North Carolina,North Carolina Middle,"Durham, NC"
North Mariana Islands,North Mariana Islands,"Saipan, MP"
Oregon,Oregon,"Eugene, OR"
Oregon,Oregon,"Medford, OR"
Oregon,Oregon,"Salem, OR"
Pennsylvania,Pennsylvania Western,"Erie, PA"
South Carolina,South Carolina,"Spartanburg, SC"
Tennessee,Tennessee Middle,"Columbia, TN"
Texas,Texas Northern,"Arlington, TX"
Virginia,Virginia Western,"Harrisonburg, VA"
Virgin Islands,Virgin Islands,"St. Croix, VI"
Washington,Washington Western,"Everett, WA"
Wisconsin,Wisconsin Western,"Eau Claire, WI"
Georgia,Georgia Northern,"Gainesville, GA"
Kentucky,Kentucky Eastern,"Pikeville, KY"
Montana,Montana,"Glasgow, MT"
Vermont,Vermont,"Brattleboro, VT"
Minnesota,Minnesota,"Fergus Falls, MN"
Washington,Washington Western,"Tukwila, WA"
Alabama,Alabama Northern,"Florence, AL"
Colorado,Colorado,"Durango, CO"
New Jersey,New Jersey,"Tinton Fields, NJ"
New Mexico,New Mexico,"Roswell, NM"
North Carolina,North Carolina Eastern,"Jacksonville, NC"
Texas,Texas Eastern,"Lufkin, TX"
Wyoming,Wyoming,"Lander, WY"
Texas,Texas Northern,"Wichita Falls, TX"
Arkansas,Arkansas Eastern,"Jonesboro, AR"
Washington,Washington Western,"Vancouver, WA"
Colorado,Colorado,"Grand Junction, CO"
Georgia,Georgia Northern,"Rome, GA"
Oklahoma,Oklahoma Eastern,"Durant, OK"
Pennsylvania,Pennsylvania Eastern,"Reading, PA"
Texas,Texas Southern,"Galveston, TX"
Virginia,Virginia Eastern,"Colonial Heights, VA"
Georgia,Georgia Northern,"Newnan, GA"
Kentucky,Kentucky Eastern,"Ashland, KY"
California,California Central,"Riverside, CA"
California,California Central,"Studio City, CA"
Indiana,Indiana Northern,"Lafayette, IN"
Indiana,Indiana Southern,"New Albany, IN"
New York,New York Northern,"Binghamton, NY"
Washington,Washington Eastern,"Richland, WA"
California,California Eastern,"Modesto, CA"
Texas,Texas Western,"Temple, TX"
Arizona,Arizona,"Sierra Vista, AZ"
North Dakota,North Dakota,"New Town, ND"
Pennsylvania,Pennsylvania Middle,"Wilkes Barre, PA"
New Jersey,New Jersey,"Paterson, NJ"
Virginia,Virginia Western,"Big Stone Gap, VA"
Georgia,Georgia Southern,"Statesboro, GA"
Virginia,Virginia Eastern,"Williamsburg, VA"
Alabama,Alabama Northern,"Tuscaloosa, AL"
California,California Eastern,"Roseville, CA"
California,California Eastern,"Bakersfield, CA"
Texas,Texas Southern,"Rio Grande City, TX"
Florida,Florida Southern,"Boca Raton, FL"
California,California Central,"Santa Barbara, CA"
New York,New York Southern,"Middletown, NY"
California,California Northern,"Santa Rosa, CA"
California,California Eastern,"Redding, CA"
Iowa,Iowa Southern,"Rock Island, IA"
