title,title_name,chapter,section,violation_summary,title_subtitle_text
18,Crimes and Criminal Procedure,37,793,"Gathering, transmitting, or losing defense information.",18793
18,Crimes and Criminal Procedure,37,794,Gathering or delivering defense information to aid a foreign government.,18794
18,Crimes and Criminal Procedure,39,831,Prohibited transactions involving nuclear materials,18831
18,Crimes and Criminal Procedure,39,832,Participation in nuclear and weapons of mass destruction threats to the United States,18832
18,Crimes and Criminal Procedure,39,833,(Repealed),18833
18,Crimes and Criminal Procedure,39,834,(Repealed),18834
18,Crimes and Criminal Procedure,39,835,(Repealed),18835
18,Crimes and Criminal Procedure,39,837,(Repealed),18837
18,Crimes and Criminal Procedure,40,842(p),Distribution of explosives info related to weapons of mass destruction.,18842P
18,Crimes and Criminal Procedure,40,844(f)(3),"Whoever engages in conduct prohibited by this subsection, and as a result of such conduct directly or proximately causes the death of any person, including any public safety officer performing duties, shall be subject to the death penalty, or imprisoned for not less than 20 years or for life, fined under this title, or both.",18844F3
18,Crimes and Criminal Procedure,40,844(h),"Whoever uses fire or an explosive to commit any felony which may be prosecuted in a court of the United States or carries an explosive during the commission of any felony which may be prosecuted in a court of the United States,",18844H
18,Crimes and Criminal Procedure,40,844(i),"Whoever maliciously damages or destroys, or attempts to damage or destroy, by means of fire or an explosive, any building, vehicle, or other real or personal property used in interstate or foreign commerce...",18844I
18,Crimes and Criminal Procedure,41,871,Threats against the President and successors.,18871
18,Crimes and Criminal Procedure,41,879,Threats against former Presidents and certain other persons.,18879
18,Crimes and Criminal Procedure,44,924(c),Unlawful possession of firearms.,18924C
18,Crimes and Criminal Procedure,47,1030(a)(1),Fraud and related activity involving computers.,181030A1
18,Crimes and Criminal Procedure,50A,1091,Genocide.,181091
18,Crimes and Criminal Procedure,51,1111,Murder,181111
18,Crimes and Criminal Procedure,51,1114,Protection of officers and employees of the United States,181114
18,Crimes and Criminal Procedure,51,1116,"Murder or manslaughter of foreign officials, official guests, or internationally protected persons",181116
18,Crimes and Criminal Procedure,51,1117,Conspiracy to murder,181117
18,Crimes and Criminal Procedure,51,1118,Murder by a Federal prisoner,181118
18,Crimes and Criminal Procedure,51,1119,Foreign murder of United States nationals,181119
18,Crimes and Criminal Procedure,51,1120,Murder by escaped prisoners,181120
18,Crimes and Criminal Procedure,51,1121,Killing persons aiding Federal investigations or State correctional officers,181121
18,Crimes and Criminal Procedure,55,1201,Kidnapping,181201
18,Crimes and Criminal Procedure,55,1202,Ransom money,181202
18,Crimes and Criminal Procedure,55,1203,Hostage taking,181203
18,Crimes and Criminal Procedure,55,1204,International parental kidnapping,181204
18,Crimes and Criminal Procedure,77,1581,Peonage; obstructing enforcement,181581
18,Crimes and Criminal Procedure,77,1582,Vessels for slave trade,181582
18,Crimes and Criminal Procedure,77,1583,Enticement into slavery,181583
18,Crimes and Criminal Procedure,77,1584,Sale into involuntary servitude,181584
18,Crimes and Criminal Procedure,77,1585,"Seizure, detention, transportation or sale of slaves",181585
18,Crimes and Criminal Procedure,77,1586,Service on vessels in slave trade,181586
18,Crimes and Criminal Procedure,77,1587,Possession of slaves aboard vessel,181587
18,Crimes and Criminal Procedure,77,1588,Transportation of slaves from United States,181588
18,Crimes and Criminal Procedure,77,1589,Forced labor,181589
18,Crimes and Criminal Procedure,77,1590,"Trafficking with respect to peonage, slavery, involuntary servitude, or forced labor",181590
18,Crimes and Criminal Procedure,77,1591,"Sex trafficking of children or by force, fraud, or coercion",181591
18,Crimes and Criminal Procedure,77,1592,"Unlawful conduct with respect to documents in furtherance of trafficking, peonage, slavery, involuntary servitude, or forced labor",181592
18,Crimes and Criminal Procedure,77,1597,Unlawful conduct with respect to immigration documents,181597
18,Crimes and Criminal Procedure,84,1751,"Presidential assassination, kidnapping, assault.",181751
18,Crimes and Criminal Procedure,87,1791,Contraband in prison.,181791
18,Crimes and Criminal Procedure,87,1792,Mutiny and riots.,181792
18,Crimes and Criminal Procedure,90A,1841(a)(2)(C),Killing or attempting to kill an unborn child intentionally.,181841A2C
18,Crimes and Criminal Procedure,97,1992,Terrorist attacks and violence against railroad and mass transportation systems.,181992
18,Crimes and Criminal Procedure,103,2113(e),Bank robbery resulting in death.,182113E
18,Crimes and Criminal Procedure,103,2118(c),Robberies/burglaries involving controlled substances with assault or death risk.,182118C
18,Crimes and Criminal Procedure,103,2119,Carjacking.,182119
18,Crimes and Criminal Procedure,105,2153,"Destruction of war material, war premises, or war utilities",182153
18,Crimes and Criminal Procedure,105,2154,"Production of defective war material, war premises, or war utilities",182154
18,Crimes and Criminal Procedure,105,2155,"Destruction of national-defense materials, national-defense premises, or national-defense utilities",182155
18,Crimes and Criminal Procedure,105,2156,"Production of defective national-defense material, national-defense premises, or national-defense utilities",182156
18,Crimes and Criminal Procedure,105,2157,(Repealed),182157
18,Crimes and Criminal Procedure,109A,2241,Aggravated sexual abuse,182241
18,Crimes and Criminal Procedure,109A,2242,Sexual abuse,182242
18,Crimes and Criminal Procedure,109A,2243,"Sexual abuse of a minor, a ward, or an individual in Federal custody",182243
18,Crimes and Criminal Procedure,109A,2244,Abusive sexual contact,182244
18,Crimes and Criminal Procedure,109A,2245,Offenses resulting in death,182245
18,Crimes and Criminal Procedure,109A,2246,Definitions for chapter,182246
18,Crimes and Criminal Procedure,109A,2247,Repeat offenders,182247
18,Crimes and Criminal Procedure,109A,2248,Mandatory restitution,182248
18,Crimes and Criminal Procedure,109B,2250,Failure to register as a sex offender.,182250
18,Crimes and Criminal Procedure,110,2251,Sexual exploitation of children.,182251
18,Crimes and Criminal Procedure,110,2251A,Selling or buying children.,182251A
18,Crimes and Criminal Procedure,110,2252,Activities involving material of sexual exploitation of minors.,182252
18,Crimes and Criminal Procedure,110,2252A,Activities involving child pornography.,182252A
18,Crimes and Criminal Procedure,110,2260,Production of sexually explicit minor depictions for importation.,182260
18,Crimes and Criminal Procedure,111,2283,"Transportation of explosive, biological, chemical, radioactive, or nuclear materials.",182283
18,Crimes and Criminal Procedure,111,2284,Transportation of terrorists.,182284
18,Crimes and Criminal Procedure,111A,2291,Destruction of vessel/maritime facility with substantial death/injury risk.,182291
18,Crimes and Criminal Procedure,113B,2332,Criminal penalties,182332
18,Crimes and Criminal Procedure,113B,2332a,Use of weapons of mass destruction,182332A
18,Crimes and Criminal Procedure,113B,2332b,Acts of terrorism transcending national boundaries,182332B
18,Crimes and Criminal Procedure,113B,2332c,(Repealed),182332C
18,Crimes and Criminal Procedure,113B,2332d,Financial transactions,182332D
18,Crimes and Criminal Procedure,113B,2332e,Requests for military assistance to enforce prohibition in certain emergencies,182332E
18,Crimes and Criminal Procedure,113B,2332f,"Bombings of places of public use, government facilities, public transportation systems and infrastructure facilities",182332F
18,Crimes and Criminal Procedure,113B,2332g,Missile systems designed to destroy aircraft,182332G
18,Crimes and Criminal Procedure,113B,2332h,Radiological dispersal devices,182332H
18,Crimes and Criminal Procedure,113B,2332i,Acts of nuclear terrorism,182332I
18,Crimes and Criminal Procedure,113B,2333,Civil remedies,182333
18,Crimes and Criminal Procedure,113B,2334,Jurisdiction and venue,182334
18,Crimes and Criminal Procedure,113B,2335,Limitation of actions,182335
18,Crimes and Criminal Procedure,113B,2336,Other limitations,182336
18,Crimes and Criminal Procedure,113B,2337,Suits against Government officials,182337
18,Crimes and Criminal Procedure,113B,2338,Exclusive Federal jurisdiction,182338
18,Crimes and Criminal Procedure,113B,2339,Harboring or concealing terrorists,182339
18,Crimes and Criminal Procedure,113B,2339A,Providing material support to terrorists,182339A
18,Crimes and Criminal Procedure,113B,2339B,Providing material support or resources to designated foreign terrorist organizations,182339B
18,Crimes and Criminal Procedure,113B,2339C,Prohibitions against the financing of terrorism,182339C
18,Crimes and Criminal Procedure,113B,2339D,Receiving military-type training from a foreign terrorist organization,182339D
18,Crimes and Criminal Procedure,113C,2340A,Torture.,182340A
18,Crimes and Criminal Procedure,115,2381,Treason.,182381
18,Crimes and Criminal Procedure,118,2442,Recruitment or use of child soldiers.,182442
18,Crimes and Criminal Procedure,227,3559(c)(2)(F),"Certain serious repeat offender crimes involving murder, assault, sexual abuse, kidnapping, carjacking, arson, terrorism.",183559C2F
21,Food and Drugs,13,841(b)(1)(A),"(Higher amount of heroin, cocaine, etc.) manufacturing or distribution, for which death or serious bodily injury resulted from the use of such substance",21841B1A
21,Food and Drugs,13,841(b)(1)(A)(i),1 kilogram or more of a mixture or substance containing a detectable amount of heroin,21841B1AI
21,Food and Drugs,13,841(b)(1)(A)(vi),400 grams or more of a mixture or substance containing a detectable amount of N-phenyl-N- [ 1- ( 2-phenylethyl ) -4-piperidinyl ] propanamide or 100 grams or more of a mixture or substance containing a detectable amount of any analogue of N-phenyl-N-[1-(2-phenylethyl)-4-piperidinyl] propanamide or a fentanyl-related substance,21841B1AVI
21,Food and Drugs,13,841(b)(1)(A)(viii),"50 grams or more of methamphetamine, its salts, isomers, and salts of its isomers or 500 grams or more of a mixture or substance containing a detectable amount of methamphetamine, its salts, isomers, or salts of its isomers",21841B1AVIII
21,Food and Drugs,13,841(b)(1)(B),"(Lower amount of heroin, cocaine, etc.) manufacturing or distribution, for which death or serious bodily injury resulted from the use of such substance",21841B1B
21,Food and Drugs,13,841(b)(1)(B)(i),100 grams or more of a mixture or substance containing a detectable amount of heroin,21841B1BI
21,Food and Drugs,13,841(b)(1)(B)(vi),40 grams or more of a mixture or substance containing a detectable amount of N-phenyl-N- [ 1- ( 2-phenylethyl ) -4-piperidinyl ] propanamide or 10 grams or more of a mixture or substance containing a detectable amount of any analogue of N-phenyl-N-[1-(2-phenylethyl)-4-piperidinyl] propanamide or a fentanyl-related substance,21841B1BVI
21,Food and Drugs,13,841(b)(1)(B)(viii),"5 grams or more of methamphetamine, its salts, isomers, and salts of its isomers or 50 grams or more of a mixture or substance containing a detectable amount of methamphetamine, its salts, isomers, or salts of its isomers",21841B1BVIII
21,Food and Drugs,13,841(b)(1)(C),"Gamma hydroxybutyric acid, etc. manufacturing or distribution, for which death or serious bodily injury resulted from the use of such substance",21841B1C
21,Food and Drugs,13,960(b)(1),"If (I) the offense involved a mixture or substance containing a detectable amount of N-phenyl-N-[1-(2-phenylethyl)-4-piperidinyl] propanamide, or any analogue thereof; and (II) the offender was an organizer, leader, manager, or supervisor of others in the offense, as determined under the guidelines promulgated by the United States Sentencing Commission.",21960B1
21,Food and Drugs,13,960(b)(1)(A),"1 kilogram or more of a mixture or substance containing a detectable amount of heroin relating to manufacturing, distributing, dispensing, or possessing with intent to manufacture, distribute, dispense, or knowingly importing or exporting, a mixture or substance containing a detectable amount of heroin if the sentencing court finds that the offender was an organizer, leader, manager, or supervisor of others in the offense",21960B1A
21,Food and Drugs,13,960(b)(1)(F),400 grams or more of a mixture or substance containing a detectable amount of N-phenyl-N- [1- ( 2-phenylethyl ) -4-piperidinyl] propanamide or 100 grams or more of a mixture or substance containing a detectable amount of any analogue of N-phenyl-N-[1-(2-phenylethyl)-4-piperidinyl] propanamide or a fentanyl-related substance,21960B1F
21,Food and Drugs,13,960(b)(1)(H),"50 grams or more of methamphetamine, its salts, isomers, and salts of its isomers or 500 grams or more of a mixture or substance containing a detectable amount of methamphetamine, its salts, isomers, or salts of its isomers",21960B1H
21,Food and Drugs,13,960(b)(2),"If (I) the offense involved a mixture or substance containing a detectable amount of N-phenyl-N-[1-(2-phenylethyl)-4-piperidinyl] propanamide, or any analogue thereof; and (II) the offender was an organizer, leader, manager, or supervisor of others in the offense, as determined under the guidelines promulgated by the United States Sentencing Commission.",21960B2
21,Food and Drugs,13,960(b)(2)(A),"100 grams or more of a mixture or substance containing a detectable amount of heroin relating to manufacturing, distributing, dispensing, or possessing with intent to manufacture, distribute, dispense, or knowingly importing or exporting, a mixture or substance containing a detectable amount of heroin if the sentencing court finds that the offender was an organizer, leader, manager, or supervisor of others in the offense",21960B2A
21,Food and Drugs,13,960(b)(2)(F),40 grams or more of a mixture or substance containing a detectable amount of N-phenyl-N- [1- ( 2-phenylethyl ) -4-piperidinyl] propanamide or 10 grams or more of a mixture or substance containing a detectable amount of any analogue of N-phenyl-N-[1-(2-phenylethyl)-4-piperidinyl] propanamide or a fentanyl-related substance,21960B2F
21,Food and Drugs,13,960(b)(2)(H),"5 grams or more of methamphetamine, its salts, isomers, and salts of its isomers or 50 grams or more of a mixture or substance containing a detectable amount of methamphetamine, its salts, isomers, or salts of its isomers",21960B2H
21,Food and Drugs,21,841,Controlled substance manufacturing/distribution causing death or serious injury.,21841
42,Public Health and Welfare,23,2077(b),Participation in development/production of special nuclear material (Atomic Energy Act).,422077B
42,Public Health and Welfare,23,2122,Prohibitions related to atomic weapons (Atomic Energy Act).,422122
42,Public Health and Welfare,23,2131,Atomic energy license requirements.,422131
42,Public Health and Welfare,23,2274,Communication of restricted data (Atomic Energy Act).,422274
42,Public Health and Welfare,23,2275,Receipt of restricted data (Atomic Energy Act).,422275
42,Public Health and Welfare,23,2284,Sabotage of nuclear facilities or fuel.,422284
49,Transportation,601,60123(b),Damaging/destroying pipeline facility with substantial death or injury risk.,4960123B
50,War and National Defense,35,1705,Violation of International Emergency Economic Powers Act.,501705
50,War and National Defense,56,4611,Violations of the Export Administration Act of 1979.,504611
50,War and National Defense,44,3121,Protection of identities of undercover intelligence officers (National Security Act).,503121
